,model,num_cores,WER,sample_id,engine,run_id,time,text_len,audio_len
151,QuartzNet15x5Base-En,?,0.16666666666666666,1701-141760-0015,NeMo,2,0.13175126165151596,33,2.29
152,QuartzNet15x5Base-En,?,0.16666666666666666,1701-141760-0015,NeMo,3,0.1426291223615408,33,2.29
153,QuartzNet15x5Base-En,?,0.16666666666666666,1701-141760-0015,NeMo,4,0.13134483620524406,33,2.29
154,QuartzNet15x5Base-En,?,0.16666666666666666,1701-141760-0015,NeMo,5,0.14267322421073914,33,2.29
155,stt_en_citrinet_256,?,0.0,1701-141760-0015,NeMo,1,0.1303131803870201,33,2.29
156,stt_en_citrinet_256,?,0.0,1701-141760-0015,NeMo,2,0.12154409103095531,33,2.29
157,stt_en_citrinet_256,?,0.0,1701-141760-0015,NeMo,3,0.11719800531864166,33,2.29
158,stt_en_citrinet_256,?,0.0,1701-141760-0015,NeMo,4,0.11782270483672619,33,2.29
159,stt_en_citrinet_256,?,0.0,1701-141760-0015,NeMo,5,0.11752617731690407,33,2.29
160,QuartzNet15x5Base-En,?,0.0,1701-141760-0016,NeMo,1,0.16093670576810837,40,2.955
161,QuartzNet15x5Base-En,?,0.0,1701-141760-0016,NeMo,2,0.15993905626237392,40,2.955
162,QuartzNet15x5Base-En,?,0.0,1701-141760-0016,NeMo,3,0.1972654163837433,40,2.955
163,QuartzNet15x5Base-En,?,0.0,1701-141760-0016,NeMo,4,0.207221407443285,40,2.955
164,QuartzNet15x5Base-En,?,0.0,1701-141760-0016,NeMo,5,0.20324255898594856,40,2.955
165,stt_en_citrinet_256,?,0.0,1701-141760-0016,NeMo,1,0.15016715414822102,40,2.955
166,stt_en_citrinet_256,?,0.0,1701-141760-0016,NeMo,2,0.13846439868211746,40,2.955
167,stt_en_citrinet_256,?,0.0,1701-141760-0016,NeMo,3,0.13451497070491314,40,2.955
168,stt_en_citrinet_256,?,0.0,1701-141760-0016,NeMo,4,0.1375829391181469,40,2.955
169,stt_en_citrinet_256,?,0.0,1701-141760-0016,NeMo,5,0.11901363730430603,40,2.955
170,QuartzNet15x5Base-En,?,0.36363636363636365,1701-141760-0017,NeMo,1,0.21832428872585297,51,4.685
171,QuartzNet15x5Base-En,?,0.36363636363636365,1701-141760-0017,NeMo,2,0.19303364492952824,51,4.685
172,QuartzNet15x5Base-En,?,0.36363636363636365,1701-141760-0017,NeMo,3,0.2135641984641552,51,4.685
173,QuartzNet15x5Base-En,?,0.36363636363636365,1701-141760-0017,NeMo,4,0.22364071384072304,51,4.685
174,QuartzNet15x5Base-En,?,0.36363636363636365,1701-141760-0017,NeMo,5,0.20883620344102383,51,4.685
175,stt_en_citrinet_256,?,0.18181818181818182,1701-141760-0017,NeMo,1,0.18684623576700687,51,4.685
176,stt_en_citrinet_256,?,0.18181818181818182,1701-141760-0017,NeMo,2,0.17194285616278648,51,4.685
177,stt_en_citrinet_256,?,0.18181818181818182,1701-141760-0017,NeMo,3,0.17426812276244164,51,4.685
178,stt_en_citrinet_256,?,0.18181818181818182,1701-141760-0017,NeMo,4,0.15633422322571278,51,4.685
179,stt_en_citrinet_256,?,0.18181818181818182,1701-141760-0017,NeMo,5,0.16119100153446198,51,4.685
180,QuartzNet15x5Base-En,?,0.17647058823529413,1701-141760-0018,NeMo,1,0.28475906141102314,78,5.215
181,QuartzNet15x5Base-En,?,0.17647058823529413,1701-141760-0018,NeMo,2,0.2585636433213949,78,5.215
182,QuartzNet15x5Base-En,?,0.17647058823529413,1701-141760-0018,NeMo,3,0.20448589697480202,78,5.215
183,QuartzNet15x5Base-En,?,0.17647058823529413,1701-141760-0018,NeMo,4,0.21132939495146275,78,5.215
184,QuartzNet15x5Base-En,?,0.17647058823529413,1701-141760-0018,NeMo,5,0.28470004722476006,78,5.215
